Chi^2 Kaon Lines:
chi^2/NDF kaon = 44.5464
chi^2/NDF kaon = 3.38244
chi^2/NDF kaon = 2.86368
chi^2/NDF kaon = 7.11653
chi^2/NDF kaon = 47.9843
chi^2/NDF kaon = 102.496
chi^2/NDF kaon = 4.8291
chi^2/NDF kaon = 6.74845
chi^2/NDF kaon = 66.7526
chi^2/NDF kaon = 4.69359
chi^2/NDF kaon = 101.063
chi^2/NDF kaon = 2.00678
chi^2/NDF kaon = 21.4348
chi^2/NDF kaon = 4.22453
chi^2/NDF kaon = 303.189
chi^2/NDF kaon = 4.45873
chi^2/NDF kaon = 4.37515
chi^2/NDF kaon = 1.34779
chi^2/NDF kaon = 5.00876
chi^2/NDF kaon = 65.4733
chi^2/NDF kaon = 10.7499
chi^2/NDF kaon = 3.00357
chi^2/NDF kaon = 2.31405
chi^2/NDF kaon = 2.88809
chi^2/NDF kaon = 84.1709
chi^2/NDF kaon = 2.67465
chi^2/NDF kaon = 2.76178
chi^2/NDF kaon = 3.51199
chi^2/NDF kaon = 5.1098
chi^2/NDF kaon = 10.3155
chi^2/NDF kaon = 4.91908
chi^2/NDF kaon = 4.43866
chi^2/NDF kaon = 3.74045
chi^2/NDF kaon = 40.9973
chi^2/NDF kaon = 3.60822
chi^2/NDF kaon = 58.1695
chi^2/NDF kaon = 301.772
chi^2/NDF kaon = 2.63331
chi^2/NDF kaon = 12.6029
chi^2/NDF kaon = 2.84882
chi^2/NDF kaon = 4.12716
chi^2/NDF kaon = 3.98019
chi^2/NDF kaon = 45.0469
chi^2/NDF kaon = 3.5659
chi^2/NDF kaon = 5.11667
chi^2/NDF kaon = 53.6526
chi^2/NDF kaon = 2.46007
chi^2/NDF kaon = 11.5031
chi^2/NDF kaon = 1.31302
chi^2/NDF kaon = 6.58991
chi^2/NDF kaon = 44.8911
chi^2/NDF kaon = 14.6721
chi^2/NDF kaon = 4.6096
chi^2/NDF kaon = 3.34725
chi^2/NDF kaon = 3.35929
chi^2/NDF kaon = 2.92644
chi^2/NDF kaon = 4.19896
chi^2/NDF kaon = 164.056
chi^2/NDF kaon = 4.79056
chi^2/NDF kaon = 109.808
chi^2/NDF kaon = 27.8142
chi^2/NDF kaon = 89.8211
chi^2/NDF kaon = 3.9114
chi^2/NDF kaon = 3.20194
chi^2/NDF kaon = 4.55409
chi^2/NDF kaon = 2.06379
chi^2/NDF kaon = 3.37615
chi^2/NDF kaon = 30.7337
chi^2/NDF kaon = 4.29615
chi^2/NDF kaon = 10.1139
chi^2/NDF kaon = 2.13817
chi^2/NDF kaon = 3.35828
chi^2/NDF kaon = 5.57098
chi^2/NDF kaon = 1.75453
chi^2/NDF kaon = 202.248
chi^2/NDF kaon = 2.90088
chi^2/NDF kaon = 17.5897
chi^2/NDF kaon = 69.5586
chi^2/NDF kaon = 103.787
chi^2/NDF kaon = 142.478
chi^2/NDF kaon = 37.2833
chi^2/NDF kaon = 107.514
chi^2/NDF kaon = 163.318
chi^2/NDF kaon = 399.716
chi^2/NDF kaon = 11.5864
chi^2/NDF kaon = 2.61234
chi^2/NDF kaon = 8.09307
chi^2/NDF kaon = 7.01868
chi^2/NDF kaon = 66.1343
chi^2/NDF kaon = 3.24642
chi^2/NDF kaon = 2.94907
chi^2/NDF kaon = 3.86572
chi^2/NDF kaon = 2.55319
chi^2/NDF kaon = 3.19804
chi^2/NDF kaon = 4.02629
chi^2/NDF kaon = 58.9741
chi^2/NDF kaon = 9.1557
chi^2/NDF kaon = 25.3937
chi^2/NDF kaon = 6.96296
chi^2/NDF kaon = 11.4532
chi^2/NDF kaon = 3.05254
chi^2/NDF kaon = 1.91536
chi^2/NDF kaon = 4.84858
chi^2/NDF kaon = 312.687
chi^2/NDF kaon = 97.3791
chi^2/NDF kaon = 3.8524
chi^2/NDF kaon = 180.022
chi^2/NDF kaon = 2.60911
chi^2/NDF kaon = 14.8095
chi^2/NDF kaon = 1.96323
chi^2/NDF kaon = 35.1957
chi^2/NDF kaon = 193.552
chi^2/NDF kaon = 72.0533
chi^2/NDF kaon = 7.99433
chi^2/NDF kaon = 66.5456
chi^2/NDF kaon = 3.89449
chi^2/NDF kaon = 155.031
chi^2/NDF kaon = 109.936
chi^2/NDF kaon = 2.47589
chi^2/NDF kaon = 4.26793
chi^2/NDF kaon = 4.54418
chi^2/NDF kaon = 122.395
chi^2/NDF kaon = 39.3476
chi^2/NDF kaon = 6.7157
chi^2/NDF kaon = 4.09007
chi^2/NDF kaon = 69.5229
chi^2/NDF kaon = 3.54972
chi^2/NDF kaon = 36.635
chi^2/NDF kaon = 110.568
chi^2/NDF kaon = 58.0767
chi^2/NDF kaon = 125.847
chi^2/NDF kaon = 58.3872
chi^2/NDF kaon = 35.4694
chi^2/NDF kaon = 3.54919
chi^2/NDF kaon = 44.1514
chi^2/NDF kaon = 5.5941
chi^2/NDF kaon = 27.6416
